08:08:18.566 [main] INFO com.opsmx.AuditClientServiceApplication -- Starting Audit client service...

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.2)

2024-10-18T08:08:33.048Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/{username}/policies/summary]}
2024-10-18T08:08:33.048Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/violations/applications]}
2024-10-18T08:08:33.048Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/v3/api-docs/swagger-config], produces [application/json]}
2024-10-18T08:08:33.048Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/policies]}
2024-10-18T08:08:33.048Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/cddashboard/widgetChartData], produces [application/json]}
2024-10-18T08:08:33.048Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/users/{username}/totalPipelineFailuresCounts]}
2024-10-18T08:08:33.048Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/auditUsers/download], produces [text/csv]}
2024-10-18T08:08:33.049Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/violations/applications/{applicationName}/services/{serviceId}]}
2024-10-18T08:08:33.049Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/datewise]}
2024-10-18T08:08:33.049Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/pipelineExecutionAuditEvents/{pipelineExecutionAuditEventsId}]}
2024-10-18T08:08:33.050Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/hourwise]}
2024-10-18T08:08:33.050Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/applications/active/hourwise]}
2024-10-18T08:08:33.050Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/{username}/pipeline]}
2024-10-18T08:08:33.050Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/{username}/pipeline]}
2024-10-18T08:08:33.050Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/users/{username}/appWisePipelineFailuresCounts]}
